name,category,medium,description,protocols,latency,bandwidth,range,reliability,security,complexity,cost,cost_model,recommended_devices,industry_fit,use_case,pros,cons,standards,resource_url
SIP MESSAGE instant command,web,ethernet_ip,"SIP MESSAGE instant command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SIP MESSAGE; CPIM,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Facilities; Hospitality; Systems integration,Short SIP text payloads carry commands to SIP-aware gateways.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SIP MESSAGE; CPIM,https://www.rfc-editor.org/rfc/rfc3428
SIP KPML digit events,web,ethernet_ip,"SIP KPML digit events as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SIP; KPML; XML,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Contact center; Hospitality; Legacy facilities,Keypad markup events map phone digits to edge commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SIP; KPML; XML,https://www.rfc-editor.org/rfc/rfc4730
RTP audio tone detection,web,ethernet_ip,"RTP audio tone detection as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",RTP; DSP; Goertzel,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"1-10,000 sensed physical points",Legacy facilities; Paging; Hospitality,Gateway detects tones or audio cues in a voice stream.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,RTP; DSP; Goertzel,https://www.rfc-editor.org/rfc/rfc3550
SRTP-secured media command channel,web,ethernet_ip,"SRTP-secured media command channel as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SRTP; RTP; SIP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Enterprise; Government; Healthcare,Encrypted RTP session carries command tones or metadata.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SRTP; RTP; SIP,https://www.rfc-editor.org/rfc/rfc3711
XMPP PubSub,web,ethernet_ip,"XMPP PubSub as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",XMPP; PubSub; TLS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Enterprise; Messaging; Systems integration,Federated publish/subscribe events dispatch device commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,XMPP; PubSub; TLS,https://xmpp.org/extensions/xep-0060.html
Redis Streams,web,ethernet_ip,"Redis Streams as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Redis; Streams; TLS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",SaaS; Retail; IoT,Append-only event stream with consumer groups for command workers.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Redis; Streams; TLS,https://redis.io/docs/latest/develop/data-types/streams/
Apache Kafka,web,ethernet_ip,"Apache Kafka as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Kafka; TLS; SASL,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"10-1,000 building devices",Enterprise; Logistics; Financial services,High-scale event log for auditable command workflows.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Kafka; TLS; SASL,https://kafka.apache.org/documentation/
Pulsar topics,web,ethernet_ip,"Pulsar topics as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Apache Pulsar; TLS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",SaaS; IoT; Enterprise,Multi-tenant topic bus for command and telemetry streams.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Apache Pulsar; TLS,https://pulsar.apache.org/docs/
ZeroMQ command sockets,web,ethernet_ip,"ZeroMQ command sockets as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",ZeroMQ; TCP; CurveZMQ,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"1-10,000 sensed physical points",Industrial automation; Systems integration; Labs,Lightweight socket patterns connect local command agents.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,ZeroMQ; TCP; CurveZMQ,https://zeromq.org/
DDS / RTPS,web,ethernet_ip,"DDS / RTPS as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",DDS; RTPS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Robotics; Aerospace; Industrial automation,Real-time pub/sub middleware for deterministic edge control.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,DDS; RTPS,https://www.omg.org/spec/DDS/
LwM2M device management,web,ethernet_ip,"LwM2M device management as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",LwM2M; CoAP; DTLS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Utilities; IoT; Remote infrastructure,Device-management objects expose execute commands and telemetry.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,LwM2M; CoAP; DTLS,https://omaspecworks.org/what-is-oma-specworks/iot/lightweight-m2m-lwm2m/
OMA DM legacy device management,web,cellular_ip,"OMA DM legacy device management as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",OMA DM; HTTPS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium; subscription or message/device fees,"100-100,000 remote devices",Telecom; Field devices; Legacy fleets,Legacy mobile-device management channel for remote configuration.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,OMA DM; HTTPS,https://omaspecworks.org/what-is-oma-specworks/device-management/
SNMP SET command,web,ethernet_ip,"SNMP SET command as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SNMPv3; UDP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Telecom; Network operations; Facilities,Management station writes OIDs to trigger networked equipment.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SNMPv3; UDP,https://www.rfc-editor.org/rfc/rfc3411
NETCONF over SSH,web,ethernet_ip,"NETCONF over SSH as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",NETCONF; SSH; YANG,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Telecom; Data centers; Enterprise networks,Structured network configuration RPCs operate routers and gateways.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,NETCONF; SSH; YANG,https://www.rfc-editor.org/rfc/rfc6241
RESTCONF,web,ethernet_ip,"RESTCONF as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",RESTCONF; YANG; HTTPS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Telecom; Enterprise networks; Data centers,HTTP-based YANG control for network and gateway devices.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,RESTCONF; YANG; HTTPS,https://www.rfc-editor.org/rfc/rfc8040
OpenFlow SDN control,web,ethernet_ip,"OpenFlow SDN control as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",OpenFlow; TLS,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Data centers; Telecom; Campus networks,SDN controller changes paths or port state after voice events.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,OpenFlow; TLS,https://opennetworking.org/sdn-resources/openflow/
BACnet/IP,web,ethernet_ip,"BACnet/IP as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",BACnet/IP; UDP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Smart building; Facilities; Healthcare,"Building automation objects control HVAC, access, and alarms.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,BACnet/IP; UDP,https://bacnet.org/
KNXnet/IP,web,ethernet_ip,"KNXnet/IP as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",KNX; KNXnet/IP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,1-256 local I/O points,Smart building; Hospitality; Facilities,Building bus integration over IP for lighting and relay actions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,KNX; KNXnet/IP,https://www.knx.org/knx-en/for-professionals/What-is-KNX/
DALI-2 lighting control,non_web,building_bus,"DALI-2 lighting control as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",DALI-2; IEC 62386,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-10,000 sensed physical points",Smart building; Retail; Hospitality,Dedicated lighting bus receives commands through a gateway.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,DALI-2; IEC 62386,https://www.dali-alliance.org/dali/
DMX512 / RDM,non_web,serial_wire,"DMX512 / RDM as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",DMX512; RDM; RS-485,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Venues; Hospitality; Retail,Lighting and stage-control bus triggers scenes and relays.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,DMX512; RDM; RS-485,https://tsp.esta.org/tsp/documents/published_docs.php
CAN bus / CANopen,non_web,fieldbus,"CAN bus / CANopen as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",CAN; CANopen,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Industrial automation; Vehicles; Robotics,Robust fieldbus commands controllers and mobile equipment.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,CAN; CANopen,https://www.can-cia.org/can-knowledge/canopen
J1939 vehicle bus,non_web,fieldbus,"J1939 vehicle bus as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SAE J1939; CAN,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Fleet; Logistics; Agriculture,Heavy-vehicle network commands and reads equipment state.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SAE J1939; CAN,https://www.sae.org/standards/content/j1939_202208/
PROFINET IO,web,ethernet_ip,"PROFINET IO as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",PROFINET; Industrial Ethernet,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Manufacturing; Industrial automation; Utilities,Industrial Ethernet I/O commands PLC devices in factories.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,PROFINET; Industrial Ethernet,https://www.profibus.com/technology/profinet
PROFIBUS DP,non_web,fieldbus,"PROFIBUS DP as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",PROFIBUS DP; RS-485,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Manufacturing; Legacy factories; Utilities,Legacy factory fieldbus controls distributed I/O and drives.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,PROFIBUS DP; RS-485,https://www.profibus.com/technology/profibus
EtherNet/IP CIP,web,ethernet_ip,"EtherNet/IP CIP as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",EtherNet/IP; CIP,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Manufacturing; Warehousing; Industrial automation,"CIP messages control PLCs, drives, and industrial I/O.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,EtherNet/IP; CIP,https://www.odva.org/technology-standards/key-technologies/ethernet-ip/
EtherCAT,web,ethernet_wire,"EtherCAT as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",EtherCAT,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Robotics; Manufacturing; Motion control,Deterministic Ethernet fieldbus for fast machine control.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,EtherCAT,https://www.ethercat.org/en/technology.html
SERCOS III,web,ethernet_wire,"SERCOS III as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SERCOS III,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",Motion control; Manufacturing; Robotics,Industrial real-time Ethernet for motion and machine commands.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SERCOS III,https://www.sercos.org/technology/sercos-iii/
IO-Link,non_web,sensor_bus,"IO-Link as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",IO-Link; IEC 61131-9,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-10,000 sensed physical points",Manufacturing; Packaging; Machine builders,Point-to-point sensor/actuator commands through IO-Link masters.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,IO-Link; IEC 61131-9,https://io-link.com/en/Technology/what_is_IO-Link.php
1-Wire control bus,non_web,serial_wire,"1-Wire control bus as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",1-Wire,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"1-10,000 sensed physical points",Facilities; Labs; Low-cost monitoring,Very low-cost single-wire sensor and switch control.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,1-Wire,https://www.analog.com/en/resources/technical-articles/guide-to-1wire-communication.html
I2C local device bus,non_web,board_bus,"I2C local device bus as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",I2C,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Embedded systems; Kiosks; Edge gateways,Local microcontroller bus controls nearby I/O expanders.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,I2C,https://www.nxp.com/docs/en/user-guide/UM10204.pdf
SPI local device bus,non_web,board_bus,"SPI local device bus as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SPI,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Embedded systems; Industrial gateways; Hardware products,Fast board-level bus controls local peripherals and relays.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SPI,https://developer.arm.com/documentation/102159/0100/Serial-Peripheral-Interface--SPI-
GPIO direct digital output,non_web,electrical_contact,"GPIO direct digital output as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",GPIO,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Facilities; Kiosks; Industrial gateways,Controller toggles a digital pin wired to an opto-isolated input.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,GPIO,https://www.raspberrypi.com/documentation/computers/raspberry-pi.html
Open collector / open drain output,non_web,electrical_contact,"Open collector / open drain output as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Open collector; Open drain,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Security; Alarms; Legacy equipment,"Sink-output interface triggers alarms, buzzers, and relay boards.","Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Open collector; Open drain,https://en.wikipedia.org/wiki/Open_collector
Wiegand access-control interface,non_web,access_control,"Wiegand access-control interface as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",Wiegand,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,"5-5,000 devices",Access control; Facilities; Healthcare,Access-control gateway bridges PBX events to door controllers.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,Wiegand,https://www.securityindustry.org/industry-standards/open-supervised-device-protocol/
OSDP secure access control,non_web,access_control,"OSDP secure access control as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",OSDP; RS-485; AES,"Sub-ms to seconds, medium dependent",Small command/event payloads,"Local, device, cable, optical, acoustic, mechanical, facility, carrier, or physical-process footprint",Medium-High with engineered installation,"Physical security, link-layer security where supported, gateway authentication",Medium,Low-Medium hardware plus installation,Low-Medium hardware plus installation,1-256 local I/O points,Access control; Government; Enterprise,Supervised encrypted RS-485 protocol for readers and doors.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,OSDP; RS-485; AES,https://www.securityindustry.org/industry-standards/open-supervised-device-protocol/
Alarm Contact ID over IP gateway,web,ethernet_ip,"Alarm Contact ID over IP gateway as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SIA DC-09; Contact ID,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,1-256 local I/O points,Security; Monitoring centers; Facilities,Alarm events are translated into IP receiver messages.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SIA DC-09; Contact ID,https://www.siaonline.org/what-we-do/standards/
